color,num_critic_for_reviews,duration,actor_3_fb_likes,actor_2_name,actor_1_fb_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_fb_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,actor_2_fb_likes,imdb_score,movie_fb_likes
Color,434.0,169.0,903.0,Marlon Brando,18000.0,Action|Adventure|Sci-Fi,Kevin Spacey,Superman Returns ,240396,29991,Frank Langella,0.0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367.0,English,USA,10000.0,6.1,0
Color,403.0,106.0,393.0,Mathieu Amalric,451.0,Action|Adventure,Giancarlo Giannini,Quantum of Solace ,330784,2023,Rory Kinnear,1.0,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243.0,English,UK,412.0,6.7,0
Color,313.0,151.0,1000.0,Orlando Bloom,40000.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,Jack Davenport,2.0,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832.0,English,USA,5000.0,7.3,5000
Color,450.0,150.0,1000.0,Ruth Wilson,40000.0,Action|Adventure|Western,Johnny Depp,The Lone Ranger ,181792,45757,Tom Wilkinson,1.0,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711.0,English,USA,2000.0,6.5,48000
Color,733.0,143.0,748.0,Christopher Meloni,15000.0,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Man of Steel ,548573,20495,Harry Lennix,0.0,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536.0,English,USA,3000.0,7.2,118000
Color,258.0,150.0,201.0,Pierfrancesco Favino,22000.0,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,Damián Alcázar,4.0,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438.0,English,USA,216.0,6.6,0
Color,703.0,173.0,19000.0,Robert Downey Jr.,26000.0,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers ,995415,87697,Scarlett Johansson,3.0,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722.0,English,USA,21000.0,8.1,123000
Color,448.0,136.0,1000.0,Sam Claflin,40000.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen Graham,4.0,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484.0,English,USA,11000.0,6.7,58000
Color,451.0,106.0,718.0,Michael Stuhlbarg,10000.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Men in Black 3 ,268154,12572,Nicole Scherzinger,1.0,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341.0,English,USA,816.0,6.8,40000
Color,422.0,164.0,773.0,Adam Brown,5000.0,Adventure|Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies ,354228,9152,James Nesbitt,0.0,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802.0,English,New Zealand,972.0,7.5,65000
Color,599.0,153.0,963.0,Andrew Garfield,15000.0,Action|Adventure|Fantasy,Emma Stone,The Amazing Spider-Man ,451803,28489,Chris Zylka,0.0,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225.0,English,USA,10000.0,7.0,56000
Color,343.0,156.0,738.0,William Hurt,891.0,Action|Adventure|Drama|History,Mark Addy,Robin Hood ,211765,3244,Scott Grimes,0.0,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546.0,English,USA,882.0,6.7,17000
Color,509.0,186.0,773.0,Adam Brown,5000.0,Adventure|Fantasy,Aidan Turner,The Hobbit: The Desolation of Smaug ,483540,9152,James Nesbitt,6.0,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951.0,English,USA,972.0,7.9,83000
Color,251.0,113.0,1000.0,Eva Green,16000.0,Adventure|Family|Fantasy,Christopher Lee,The Golden Compass ,149019,24106,Kristin Scott Thomas,2.0,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666.0,English,USA,6000.0,6.1,0
Color,446.0,201.0,84.0,Thomas Kretschmann,6000.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong ,316018,7123,Evan Parke,0.0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618.0,English,New Zealand,919.0,7.2,0
Color,315.0,194.0,794.0,Kate Winslet,29000.0,Drama|Romance,Leonardo DiCaprio,Titanic ,793059,45223,Gloria Stuart,0.0,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528.0,English,USA,14000.0,7.7,26000
Color,516.0,147.0,11000.0,Scarlett Johansson,21000.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Captain America: Civil War ,272670,64798,Chris Evans,0.0,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022.0,English,USA,19000.0,8.2,72000
Color,377.0,131.0,627.0,Alexander Skarsgård,14000.0,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Battleship ,202382,26679,Tadanobu Asano,0.0,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751.0,English,USA,10000.0,5.9,44000
Color,644.0,124.0,1000.0,Judy Greer,3000.0,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Jurassic World ,418214,8458,Omar Sy,0.0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290.0,English,USA,2000.0,7.0,150000
Color,750.0,143.0,393.0,Helen McCrory,883.0,Action|Adventure|Thriller,Albert Finney,Skyfall ,522030,2039,Rory Kinnear,0.0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498.0,English,UK,563.0,7.8,80000
Color,300.0,135.0,4000.0,James Franco,24000.0,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man 2 ,411164,43388,Kirsten Dunst,1.0,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303.0,English,USA,11000.0,7.3,0
Color,608.0,195.0,3000.0,Jon Favreau,21000.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 3 ,557489,30426,Don Cheadle,3.0,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187.0,English,USA,4000.0,7.2,95000
Color,451.0,108.0,11000.0,Alan Rickman,40000.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland ,306320,79957,Anne Hathaway,0.0,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736.0,English,USA,25000.0,6.5,24000
Color,334.0,104.0,560.0,Kelsey Grammer,20000.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men: The Last Stand ,383427,21714,Daniel Cudmore,0.0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912.0,English,Canada,808.0,6.8,0
Color,376.0,104.0,760.0,Tyler Labine,12000.0,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Monsters University ,235025,14863,Sean Hayes,0.0,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265.0,English,USA,779.0,7.3,44000
Color,366.0,150.0,464.0,Kevin Dunn,894.0,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,3218,Ramon Rodriguez,0.0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439.0,English,USA,581.0,6.0,0
Color,378.0,165.0,808.0,Sophia Myles,974.0,Action|Adventure|Sci-Fi,Bingbing Li,Transformers: Age of Extinction ,242420,3988,Kelsey Grammer,2.0,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918.0,English,USA,956.0,5.7,56000
Color,525.0,130.0,11000.0,Mila Kunis,44000.0,Adventure|Family|Fantasy,Tim Holmes,Oz the Great and Powerful ,175409,73441,James Franco,4.0,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511.0,English,USA,15000.0,6.4,60000
Color,495.0,142.0,825.0,Andrew Garfield,15000.0,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,The Amazing Spider-Man 2 ,321227,28631,B.J. Novak,0.0,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067.0,English,USA,10000.0,6.7,41000
Color,469.0,125.0,1000.0,Olivia Wilde,12000.0,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy ,264183,25550,James Frain,0.0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665.0,English,USA,10000.0,6.8,30000
Color,304.0,106.0,776.0,Thomas Kretschmann,1000.0,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Cars 2 ,101178,4482,Eddie Izzard,0.0,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283.0,English,USA,919.0,6.3,10000
Color,436.0,123.0,326.0,Temuera Morrison,16000.0,Action|Adventure|Sci-Fi,Ryan Reynolds,Green Lantern ,223393,17657,Taika Waititi,2.0,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550.0,English,USA,368.0,5.6,24000
Color,453.0,103.0,721.0,John Ratzenberger,15000.0,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 3 ,544884,19085,Don Rickles,3.0,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733.0,English,USA,1000.0,8.3,30000
Color,422.0,118.0,988.0,Bryce Dallas Howard,23000.0,Action|Adventure|Sci-Fi,Christian Bale,Terminator Salvation ,286095,27468,Common,0.0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974.0,English,USA,3000.0,6.6,0
Color,424.0,140.0,14000.0,Paul Walker,26000.0,Action|Crime|Thriller,Jason Statham,Furious 7 ,278232,79150,Vin Diesel,0.0,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657.0,English,USA,23000.0,7.2,94000
Color,654.0,123.0,1000.0,Brad Pitt,17000.0,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,World War Z ,465019,32392,Mireille Enos,0.0,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995.0,English,USA,11000.0,7.0,129000
Color,539.0,149.0,20000.0,Peter Dinklage,34000.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,X-Men: Days of Future Past ,514125,91434,Hugh Jackman,7.0,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752.0,English,USA,22000.0,8.0,82000
Color,590.0,132.0,928.0,Bruce Greenwood,19000.0,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness ,395573,21411,Noel Clarke,0.0,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171.0,English,USA,981.0,7.8,92000
Color,338.0,114.0,140.0,Ewen Bremner,979.0,Adventure|Fantasy,Eddie Marsan,Jack the Giant Slayer ,106416,1766,Ralph Brown,1.0,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205.0,English,USA,557.0,6.3,22000
Color,490.0,143.0,77.0,Elizabeth Debicki,29000.0,Drama|Romance,Leonardo DiCaprio,The Great Gatsby ,362912,29770,Steve Bisley,4.0,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753.0,English,Australia,509.0,7.3,115000
Color,306.0,116.0,236.0,Richard Coyle,15000.0,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,16149,Reece Ritchie,2.0,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453.0,English,USA,567.0,6.6,23000
Color,575.0,131.0,919.0,Clifton Collins Jr.,16000.0,Action|Adventure|Sci-Fi,Charlie Hunnam,Pacific Rim ,381148,19166,Larry Joe Campbell,0.0,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106.0,English,USA,968.0,7.0,83000
Color,428.0,154.0,581.0,Lester Speight,894.0,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon ,326180,2593,Kevin Dunn,2.0,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899.0,English,USA,829.0,6.3,46000
Color,470.0,122.0,1000.0,Ray Winstone,11000.0,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,Jim Broadbent,2.0,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054.0,English,USA,1000.0,6.2,5000
Color,298.0,93.0,113.0,Jack McGraw,275.0,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,The Good Dinosaur ,62836,696,Peter Sohn,0.0,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345.0,English,USA,150.0,6.8,20000
Color,488.0,93.0,838.0,John Ratzenberger,2000.0,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,Brave ,273556,5005,Julie Walters,0.0,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428.0,English,USA,1000.0,7.2,39000
Color,322.0,122.0,105.0,Melissa Roxburgh,998.0,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Star Trek Beyond ,53607,1327,Lydia Wilson,4.0,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432.0,English,USA,119.0,7.5,30000
Color,421.0,98.0,522.0,Fred Willard,1000.0,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,WALL·E ,718837,2975,Jeff Garlin,0.0,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043.0,English,USA,729.0,8.4,16000
Color,162.0,91.0,173.0,Dana Ivey,268.0,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3 ,121084,1125,Noémie Lenoir,2.0,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221.0,English,USA,268.0,6.2,0
Color,367.0,158.0,310.0,Liam James,1000.0,Action|Adventure|Sci-Fi,Oliver Platt,2012 ,283418,2144,Tom McCarthy,0.0,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055.0,English,USA,468.0,5.8,13000
Color,240.0,96.0,10000.0,Colin Firth,18000.0,Animation|Drama|Family|Fantasy,Robin Wright,A Christmas Carol ,72809,48878,Gary Oldman,0.0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249.0,English,USA,14000.0,6.8,0
Color,384.0,127.0,13000.0,Mila Kunis,17000.0,Action|Adventure|Sci-Fi,Channing Tatum,Jupiter Ascending ,139593,47334,Eddie Redmayne,1.0,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720.0,English,USA,15000.0,5.4,44000
Color,248.0,110.0,103.0,Alexander Skarsgård,11000.0,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2.0,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239.0,English,USA,10000.0,6.6,29000
Color,284.0,150.0,82.0,Kiran Shah,1000.0,Adventure|Family|Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,Shane Rangi,5.0,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463.0,English,USA,190.0,6.9,0
Color,396.0,144.0,1000.0,Michael Fassbender,34000.0,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse ,148379,49684,Tye Sheridan,6.0,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622.0,English,USA,13000.0,7.3,54000
Color,645.0,152.0,11000.0,Heath Ledger,23000.0,Action|Crime|Drama|Thriller,Christian Bale,The Dark Knight ,1676169,57802,Morgan Freeman,0.0,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667.0,English,USA,13000.0,9.0,37000
Color,408.0,96.0,262.0,Delroy Lindo,1000.0,Adventure|Animation|Comedy|Family,John Ratzenberger,Up ,665575,2635,Jess Harnell,1.0,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704.0,English,USA,848.0,8.3,27000
Color,219.0,94.0,459.0,Rainn Wilson,1000.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Monsters vs. Aliens ,114553,2579,Stephen Colbert,2.0,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187.0,English,USA,973.0,6.5,0
Color,486.0,126.0,4000.0,Jeff Bridges,21000.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,3.0,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055.0,English,USA,12000.0,7.9,10000
Color,682.0,126.0,1000.0,Christopher Lee,17000.0,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,Hugo ,245333,36017,Ray Winstone,0.0,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678.0,English,USA,16000.0,7.5,42000
Color,85.0,106.0,582.0,Salma Hayek,10000.0,Action|Comedy|Sci-Fi|Western,Will Smith,Wild Wild West ,129601,15870,Bai Ling,2.0,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648.0,English,USA,4000.0,4.8,0
Color,264.0,112.0,595.0,Brendan Fraser,5000.0,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,9131,Russell Wong,2.0,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501.0,English,USA,3000.0,5.2,0
Color,418.0,123.0,329.0,Robin Atkin Downes,10000.0,Action|Adventure|Comedy|Sci-Fi,Will Smith,Suicide Squad ,118992,11287,Ike Barinholtz,8.0,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971.0,English,USA,336.0,6.9,80000
Color,186.0,96.0,7000.0,Morgan Freeman,87000.0,Comedy|Family|Fantasy,Jimmy Bennett,Evan Almighty ,115099,108016,Steve Carell,0.0,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257.0,English,USA,11000.0,5.4,2000
Color,585.0,113.0,509.0,Lara Pulver,10000.0,Action|Adventure|Sci-Fi,Tom Cruise,Edge of Tomorrow ,431620,12652,Noah Taylor,1.0,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741.0,English,USA,854.0,7.9,77000
Color,91.0,176.0,60.0,Rick Aviles,711.0,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,Waterworld ,144337,1004,Zakes Mokae,0.0,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309.0,English,USA,60.0,6.1,0
Color,250.0,118.0,570.0,Dennis Quaid,23000.0,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,26683,Leo Howard,4.0,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534.0,English,USA,2000.0,5.8,0
Color,536.0,95.0,384.0,Mindy Kaling,1000.0,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Inside Out ,345198,2944,Phyllis Smith,1.0,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773.0,English,USA,767.0,8.3,118000
Color,370.0,106.0,591.0,Bill Murray,19000.0,Adventure|Drama|Family|Fantasy,Scarlett Johansson,The Jungle Book ,106072,32921,Garry Shandling,0.0,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398.0,English,UK,13000.0,7.8,65000
Color,453.0,124.0,4000.0,Scarlett Johansson,21000.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,522371,48638,Jon Favreau,4.0,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723.0,English,USA,19000.0,7.0,18000
Color,416.0,132.0,11000.0,Kristen Stewart,26000.0,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Snow White and the Huntsman ,228554,72881,Sam Claflin,0.0,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710.0,English,USA,17000.0,6.1,53000
Color,401.0,97.0,846.0,Sharlto Copley,11000.0,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent ,252257,15516,Sam Riley,2.0,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634.0,English,USA,2000.0,7.0,89000
Color,521.0,130.0,884.0,Judy Greer,10000.0,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes ,317542,14363,Kodi Smit-McPhee,0.0,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620.0,English,USA,2000.0,7.6,45000
Color,10.0,109.0,283.0,Alice Englert,622.0,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers ,2138,1982,Bipasha Basu,3.0,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15.0,English,Belgium,525.0,4.5,677
Color,218.0,128.0,982.0,Cary-Hiroyuki Tagawa,18000.0,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,116994,20965,Jin Akanishi,2.0,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324.0,English,USA,1000.0,6.3,35000
Color,576.0,136.0,2000.0,Chris Evans,19000.0,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,496749,36188,Hayley Atwell,1.0,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742.0,English,USA,11000.0,7.8,55000
Color,226.0,93.0,213.0,Kathy Griffin,4000.0,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Shrek Forever After ,138661,4628,Mary Kay Place,2.0,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173.0,English,USA,225.0,6.4,0
Color,443.0,130.0,604.0,Chris Bauer,2000.0,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Tomorrowland ,128306,5046,Thomas Robinson,2.0,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497.0,English,USA,638.0,6.5,37000
Color,384.0,102.0,562.0,Daniel Henney,756.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Big Hero 6 ,279093,2963,Abraham Benrubi,0.0,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433.0,English,USA,719.0,7.9,41000
Color,377.0,101.0,833.0,Sarah Silverman,975.0,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph ,272534,4451,Joe Lo Truglio,1.0,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345.0,English,USA,931.0,7.8,40000
Color,188.0,100.0,267.0,Eddie Deezen,15000.0,Adventure|Animation|Family|Fantasy,Tom Hanks,The Polar Express ,120798,16264,Peter Scolari,0.0,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444.0,English,USA,726.0,6.6,10000
Color,286.0,120.0,535.0,Sela Ward,890.0,Action|Adventure|Sci-Fi,Vivica A. Fox,Independence Day: Resurgence ,58137,3233,Judd Hirsch,0.0,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520.0,English,USA,812.0,5.5,67000
Color,288.0,98.0,759.0,America Ferrera,18000.0,Adventure|Animation|Family|Fantasy,Gerard Butler,How to Train Your Dragon ,485430,20453,Craig Ferguson,0.0,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,492.0,English,USA,953.0,8.2,33000
Color,280.0,109.0,191.0,M.C. Gainey,648.0,Action|Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines ,305340,1769,Carolyn Hennesy,0.0,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676.0,English,USA,284.0,6.4,0
Color,653.0,121.0,3000.0,Vin Diesel,14000.0,Action|Adventure|Sci-Fi,Bradley Cooper,Guardians of the Galaxy ,682155,32438,Djimon Hounsou,3.0,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1097.0,English,USA,14000.0,8.1,96000
Color,712.0,169.0,6000.0,Anne Hathaway,11000.0,Adventure|Drama|Sci-Fi,Matthew McConaughey,Interstellar ,928227,31488,Mackenzie Foy,1.0,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2725.0,English,USA,11000.0,8.6,349000
Color,642.0,148.0,23000.0,Tom Hardy,29000.0,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,Inception ,1468200,81115,Joseph Gordon-Levitt,0.0,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,2803.0,English,USA,27000.0,8.8,175000
